z_percentile,if_percentile,cusum_min_h,z_thr_crisis,z_thr_post,if_thr,n_alerts,alerts_per_month,n_tp_72h,n_tp_7d,precision_72h,precision_7d,precision_30d,recall_event,n_events_in_window,n_events_detected,fp_rate_per_month_outside_72h,median_lag_hours
95.0,85,3,0.5965846749066422,1.3547720567729769,0.37471741925003604,436,12.119406392694065,63,83,0.1444954128440367,0.19036697247706422,0.7889908256880734,0.7083333333333334,24,17,10.368207762557079,370.0
95.0,85,5,0.5965846749066422,1.3547720567729769,0.37471741925003604,348,9.673287671232877,49,66,0.14080459770114942,0.1896551724137931,0.8103448275862069,0.5416666666666666,24,13,8.311244292237443,443.0
95.0,90,1,0.5965846749066422,1.3547720567729769,0.4197262263376946,567,15.760787671232878,85,111,0.14991181657848324,0.19576719576719576,0.7689594356261023,0.8333333333333334,24,20,13.398059360730594,368.0
95.0,90,2,0.5965846749066422,1.3547720567729769,0.4197262263376946,479,13.31466894977169,69,90,0.1440501043841336,0.18789144050104384,0.778705636743215,0.8333333333333334,24,20,11.396689497716896,392.5
95.0,90,3,0.5965846749066422,1.3547720567729769,0.4197262263376946,424,11.785844748858448,58,78,0.13679245283018868,0.18396226415094338,0.7900943396226415,0.7083333333333334,24,17,10.173630136986302,370.0
95.0,90,5,0.5965846749066422,1.3547720567729769,0.4197262263376946,337,9.367522831050229,45,62,0.13353115727002968,0.18397626112759644,0.8130563798219584,0.5416666666666666,24,13,8.116666666666667,443.0
95.0,95,1,0.5965846749066422,1.3547720567729769,0.48496240887865055,523,14.537728310502285,66,90,0.12619502868068833,0.17208413001912046,0.7609942638623327,0.7916666666666666,24,19,12.703139269406394,368.0
95.0,95,2,0.5965846749066422,1.3547720567729769,0.48496240887865055,439,12.20279680365297,52,71,0.11845102505694761,0.16173120728929385,0.7722095671981777,0.75,24,18,10.757363013698631,369.0
95.0,95,3,0.5965846749066422,1.3547720567729769,0.48496240887865055,390,10.840753424657535,42,60,0.1076923076923077,0.15384615384615385,0.782051282051282,0.625,24,15,9.673287671232877,370.0
95.0,95,5,0.5965846749066422,1.3547720567729769,0.48496240887865055,313,8.700399543378996,32,47,0.10223642172523961,0.1501597444089457,0.805111821086262,0.5416666666666666,24,13,7.810901826484018,443.0
95.0,98,1,0.5965846749066422,1.3547720567729769,0.5939604467248247,391,10.868550228310504,45,65,0.11508951406649616,0.16624040920716113,0.7647058823529411,0.7916666666666666,24,19,9.617694063926942,368.0
95.0,98,2,0.5965846749066422,1.3547720567729769,0.5939604467248247,327,9.089554794520549,35,50,0.10703363914373089,0.1529051987767584,0.7828746177370031,0.6666666666666666,24,16,8.116666666666667,404.5
95.0,98,3,0.5965846749066422,1.3547720567729769,0.5939604467248247,288,8.005479452054795,28,42,0.09722222222222222,0.14583333333333334,0.7986111111111112,0.5416666666666666,24,13,7.2271689497716896,441.0
95.0,98,5,0.5965846749066422,1.3547720567729769,0.5939604467248247,242,6.726826484018265,22,34,0.09090909090909091,0.14049586776859505,0.8181818181818182,0.5416666666666666,24,13,6.115296803652968,443.0
97.0,80,1,1.067329009381242,2.6707328708133535,0.340800554591596,439,12.20279680365297,74,88,0.16856492027334852,0.20045558086560364,0.7539863325740319,0.8333333333333334,24,20,10.145833333333334,368.0
97.0,80,2,1.067329009381242,2.6707328708133535,0.340800554591596,355,9.867865296803654,57,66,0.16056338028169015,0.18591549295774648,0.7661971830985915,0.7916666666666666,24,19,8.283447488584475,369.0
97.0,80,3,1.067329009381242,2.6707328708133535,0.340800554591596,300,8.339041095890412,47,54,0.15666666666666668,0.18,0.7733333333333333,0.625,24,15,7.032591324200913,387.0
97.0,80,5,1.067329009381242,2.6707328708133535,0.340800554591596,231,6.421061643835617,35,41,0.15151515151515152,0.1774891774891775,0.7965367965367965,0.5416666666666666,24,13,5.448173515981735,443.0
97.0,85,1,1.067329009381242,2.6707328708133535,0.37471741925003604,433,12.03601598173516,71,85,0.16397228637413394,0.19630484988452657,0.7505773672055427,0.8333333333333334,24,20,10.06244292237443,368.0
97.0,85,2,1.067329009381242,2.6707328708133535,0.37471741925003604,349,9.701084474885846,54,63,0.15472779369627507,0.18051575931232092,0.7621776504297995,0.7916666666666666,24,19,8.200057077625571,369.0
97.0,85,3,1.067329009381242,2.6707328708133535,0.37471741925003604,295,8.200057077625571,44,51,0.14915254237288136,0.17288135593220338,0.7694915254237288,0.625,24,15,6.976997716894978,387.0
97.0,85,5,1.067329009381242,2.6707328708133535,0.37471741925003604,228,6.337671232876713,33,39,0.14473684210526316,0.17105263157894737,0.793859649122807,0.5416666666666666,24,13,5.420376712328768,443.0
97.0,90,1,1.067329009381242,2.6707328708133535,0.4197262263376946,417,11.591267123287672,63,76,0.1510791366906475,0.18225419664268586,0.7458033573141487,0.8333333333333334,24,20,9.840068493150685,368.0
97.0,90,2,1.067329009381242,2.6707328708133535,0.4197262263376946,336,9.33972602739726,48,56,0.14285714285714285,0.16666666666666666,0.7559523809523809,0.7916666666666666,24,19,8.005479452054795,416.0
97.0,90,3,1.067329009381242,2.6707328708133535,0.4197262263376946,287,7.977682648401827,40,47,0.13937282229965156,0.16376306620209058,0.7665505226480837,0.625,24,15,6.8658105022831055,441.0
97.0,90,5,1.067329009381242,2.6707328708133535,0.4197262263376946,221,6.143093607305937,30,36,0.13574660633484162,0.16289592760180996,0.7918552036199095,0.5416666666666666,24,13,5.309189497716895,443.0
97.0,95,1,1.067329009381242,2.6707328708133535,0.48496240887865055,385,10.701769406392694,47,58,0.12207792207792208,0.15064935064935064,0.7376623376623377,0.7916666666666666,24,19,9.395319634703197,368.0
97.0,95,2,1.067329009381242,2.6707328708133535,0.48496240887865055,308,8.561415525114155,34,40,0.11038961038961038,0.12987012987012986,0.75,0.7083333333333334,24,17,7.616324200913242,369.0
