episode_id,start,end,duration_hours,regime,max_alert_level,max_score,max_residual,mean_residual,max_atc_fatigue
1826,2024-09-30 12:00:00,2024-09-30 18:00:00,7,post_excepcion,rojo,0.7312314576040466,10.208861618041993,3.8871755194664,890.0
752,2022-07-16 06:00:00,2022-07-17 15:00:00,34,excepcion_iberica,rojo,0.7308193114775487,2.4589208889007637,0.3583831751762946,10.0
1438,2023-10-31 07:00:00,2023-11-01 18:00:00,36,excepcion_iberica,rojo,0.7306648302941776,3.1951749420166067,0.29171855004090436,399.0
1774,2024-07-09 10:00:00,2024-07-09 18:00:00,9,post_excepcion,rojo,0.728373946978557,9.037885894775393,2.010395050545533,890.0
594,2021-10-10 16:00:00,2021-10-11 14:00:00,23,pre_crisis,rojo,0.7272823130364269,2.6718532562255746,0.18635527417266126,1.0
688,2022-03-13 04:00:00,2022-03-13 12:00:00,9,excepcion_iberica,rojo,0.7271361545019451,2.909104347229004,0.4010433482342503,1.0
1122,2023-04-29 15:00:00,2023-04-30 21:00:00,31,excepcion_iberica,rojo,0.7221169925302746,1.746084594726561,0.3494545357088527,810.0
1436,2023-10-29 22:00:00,2023-10-31 04:00:00,31,excepcion_iberica,rojo,0.7184865892633612,2.2615103340148934,0.2179281459081798,361.0
1472,2023-12-05 08:00:00,2023-12-05 20:00:00,13,excepcion_iberica,rojo,0.7178499346662053,1.9328008270263695,0.49711125647505894,725.0
1490,2023-12-21 04:00:00,2023-12-21 08:00:00,5,excepcion_iberica,rojo,0.7163982952067071,2.017768468856815,0.689228742599488,3.0
1374,2023-09-20 16:00:00,2023-09-21 03:00:00,12,excepcion_iberica,rojo,0.7143132376241663,1.8772141933441162,0.28347953020905453,410.0
1422,2023-10-04 15:00:00,2023-10-04 17:00:00,3,excepcion_iberica,rojo,0.7117910511672418,1.9336105585098267,0.6870765971640745,736.0
1012,2023-03-24 13:00:00,2023-03-24 17:00:00,5,excepcion_iberica,rojo,0.7098006505889607,1.9194907760620126,0.5783024519681923,124.0
1646,2024-04-25 20:00:00,2024-04-26 09:00:00,14,post_excepcion,rojo,0.7097707955425622,6.4233315086364655,2.011464116062437,30.0
912,2023-01-05 08:00:00,2023-01-05 16:00:00,9,excepcion_iberica,rojo,0.7095276902881736,2.3112617492675724,0.31725511854100497,99.0
1024,2023-03-30 01:00:00,2023-03-30 03:00:00,3,excepcion_iberica,rojo,0.7088575332799003,1.8824551010131856,0.6886940839886672,
1444,2023-11-07 06:00:00,2023-11-07 14:00:00,9,excepcion_iberica,rojo,0.7082014906033652,2.5534148979186995,0.3964083082891171,71.0
600,2021-11-15 04:00:00,2021-11-16 10:00:00,31,pre_crisis,rojo,0.7051322537003812,1.9326843452453772,0.14744715694007665,1.0
814,2022-09-03 15:00:00,2022-09-03 23:00:00,9,excepcion_iberica,rojo,0.7000923518558546,0.9244860410690308,0.3513451485066778,17.0
560,2021-06-15 07:00:00,2021-06-16 04:00:00,22,pre_crisis,naranja,0.6981759456272884,1.9567273426055891,0.15722542756237087,2.0
928,2023-01-30 07:00:00,2023-01-30 14:00:00,8,excepcion_iberica,naranja,0.6976142042750482,2.0261343479156437,0.3701727496646363,346.0
262,2020-02-16 15:00:00,2020-02-18 13:00:00,47,pre_crisis,naranja,0.6973007682285104,1.946193351745606,0.10501093954288787,2.0
