event_id,magnitude,event_type,out_of_window,detected,lag_hours,variant
EVT013,MEDIA,REGULATORIO,True,False,,V3_window24h
EVT014,MUY_ALTA,MERCADO,True,False,,V3_window24h
EVT015,MUY_ALTA,MERCADO,True,False,,V3_window24h
EVT016,MUY_ALTA,MERCADO,True,False,,V3_window24h
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,5241.0,V3_window24h
EVT018,MEDIA,MERCADO,False,False,,V3_window24h
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V3_window24h
EVT020,MUY_ALTA,MERCADO,False,False,,V3_window24h
EVT021,ALTA,INFRAESTRUCTURA,False,False,,V3_window24h
EVT022,MUY_ALTA,REGULATORIO,False,True,1281.0,V3_window24h
EVT023,MUY_ALTA,MERCADO,False,True,1281.0,V3_window24h
EVT024,ALTA,CLIMATICO,False,True,1617.0,V3_window24h
EVT025,MEDIA,LABORAL,False,False,,V3_window24h
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,False,,V3_window24h
EVT027,MUY_ALTA,MERCADO,False,False,,V3_window24h
EVT028,MEDIA,LABORAL,False,False,,V3_window24h
EVT029,ALTA,MERCADO,False,False,,V3_window24h
EVT030,MEDIA,CLIMATICO,False,True,9.0,V3_window24h
EVT031,MEDIA,MERCADO,False,True,9.0,V3_window24h
EVT032,ALTA,MERCADO,False,False,,V3_window24h
EVT033,ALTA,REGULATORIO,False,False,,V3_window24h
EVT034,ALTA,MERCADO,False,False,,V3_window24h
EVT035,ALTA,MERCADO,False,False,,V3_window24h
EVT036,ALTA,MERCADO,False,False,,V3_window24h
EVT037,MUY_ALTA,MERCADO,False,False,,V3_window24h
EVT038,MEDIA,MERCADO,False,False,,V3_window24h
EVT039,BAJA,INFRAESTRUCTURA,False,False,,V3_window24h
EVT040,ALTA,MERCADO,False,False,,V3_window24h
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V4_EWMA
EVT002,MEDIA,MERCADO,True,False,,V4_EWMA
EVT003,ALTA,CLIMATICO,True,False,,V4_EWMA
EVT004,ALTA,CLIMATICO,True,False,,V4_EWMA
EVT005,MEDIA,MERCADO,True,False,,V4_EWMA
EVT006,MUY_ALTA,REGULATORIO,True,False,,V4_EWMA
EVT007,ALTA,MERCADO,True,False,,V4_EWMA
EVT008,ALTA,CLIMATICO,True,False,,V4_EWMA
EVT009,ALTA,MERCADO,True,False,,V4_EWMA
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V4_EWMA
EVT011,ALTA,MERCADO,True,False,,V4_EWMA
EVT012,MUY_ALTA,MERCADO,True,False,,V4_EWMA
